,电影,票房占比,综合票房,场均人次,排片占比,上座率
1369,三更车库,<0.1%,2.01,12,<0.1%,100%
1370,菜鸟,<0.1%,1.99,1,0.5%,3.6%
1371,木星上行,<0.1%,1.55,2,0.2%,6.1%
1372,通道转兵,<0.1%,1.26,49,<0.1%,--
1373,将错就错,<0.1%,1.24,2,0.2%,11.3%
1374,战狼,35.7%,3814.82,31,24.9%,33.9%
1375,咱们结婚吧,27.9%,2980.67,27,22.8%,29.2%
1376,王牌特工：特工学院,18.8%,2009.95,36,10.7%,38.6%
1377,暴疯语,7.7%,832.87,14,13.2%,17.8%
1378,白幽灵传奇之绝命逃亡,3.0%,323.24,8,7.9%,10.8%
1379,冲锋车,2.5%,274.55,8,8.1%,10.6%
1380,三更车库,0.9%,106.48,7,3.6%,12.5%
1381,灰姑娘,0.9%,96.92,15,1.4%,27.6%
1382,兔侠之青黎传说,0.9%,96.76,78,0.1%,100%
1383,无敌小飞猪,0.3%,32.98,4,2.0%,10.1%
1384,飓风营救3,0.2%,27.49,7,0.7%,14.0%
1385,失孤,0.2%,25.00,6,0.9%,13.5%
1386,一万年以后,0.1%,13.08,5,0.6%,9.3%
1387,帕丁顿熊,<0.1%,9.94,11,0.2%,19.1%
1388,可爱的你,<0.1%,5.37,13,<0.1%,35.8%
1389,狼图腾,<0.1%,4.35,11,<0.1%,26.8%
1390,天河,<0.1%,3.38,76,<0.1%,100%
1391,封门诡影,<0.1%,3.22,2,0.4%,12.1%
1392,公路美人,<0.1%,2.87,1,0.6%,1.1%
1393,将错就错,<0.1%,1.86,3,0.1%,20.2%
1394,摩尔庄园3：魔幻列车大冒险,<0.1%,1.64,142,<0.1%,100%
1395,通道转兵,<0.1%,1.43,73,<0.1%,--
1396,天将雄师,<0.1%,1.19,88,<0.1%,100%
1397,黄克功案件,<0.1%,1.15,193,<0.1%,79.7%
1398,战狼,34.4%,6179.20,45,25.7%,47.0%
1399,咱们结婚吧,24.3%,4370.58,39,22.0%,42.9%
1400,王牌特工：特工学院,21.7%,3892.17,63,10.9%,68.1%
1401,暴疯语,6.2%,1127.71,21,10.7%,28.0%
1402,魔法总动员,4.5%,807.79,22,7.5%,35.7%
1403,白幽灵传奇之绝命逃亡,2.2%,410.47,13,5.6%,20.8%
1404,冲锋车,2.0%,362.47,12,6.4%,16.5%
1405,灰姑娘,1.6%,298.34,34,1.7%,56.5%
1406,三更车库,0.7%,136.01,10,3.1%,17.9%
1407,兔侠之青黎传说,0.4%,72.18,66,0.1%,100%
1408,无敌小飞猪,0.4%,71.98,7,2.3%,20.4%
1409,飓风营救3,0.2%,44.27,14,0.4%,35.3%
1410,帕丁顿熊,0.2%,39.30,34,0.2%,44.7%
1411,失孤,0.1%,35.43,12,0.6%,29.0%
1412,一万年以后,0.1%,23.29,10,0.4%,20.3%
1413,狼图腾,<0.1%,10.55,23,<0.1%,48.7%
1414,封门诡影,<0.1%,6.32,4,0.4%,23.3%
1415,可爱的你,<0.1%,5.74,16,<0.1%,46.6%
1416,将错就错,<0.1%,1.99,4,0.1%,27.9%
1417,菜鸟,<0.1%,1.87,4,0.2%,17.0%
1418,红包,<0.1%,1.79,47,<0.1%,--
1419,木星上行,<0.1%,1.79,8,<0.1%,22.9%
1420,通道转兵,<0.1%,1.56,78,<0.1%,--
1421,公路美人,<0.1%,1.47,2,0.2%,2.0%
1422,天河,<0.1%,1.44,59,<0.1%,100%
1423,澳门风云2,<0.1%,1.43,8,<0.1%,24.9%
1424,战狼,35.4%,7023.04,50,26.4%,51.7%
1425,咱们结婚吧,23.1%,4575.70,41,21.9%,46.3%
1426,王牌特工：特工学院,23.0%,4564.14,66,12.5%,68.7%
1427,魔法总动员,5.6%,1118.39,27,8.0%,45.9%
1428,暴疯语,4.2%,837.62,18,9.3%,24.9%
1429,白幽灵传奇之绝命逃亡,2.0%,402.22,14,5.1%,23.7%
1430,灰姑娘,1.9%,390.37,37,2.0%,60.7%
1431,冲锋车,1.8%,372.76,14,5.7%,19.4%
1432,三更车库,0.6%,138.39,11,2.9%,19.4%
1433,兔侠之青黎传说,0.3%,78.57,72,0.1%,100%
1434,无敌小飞猪,0.3%,75.00,9,2.0%,24.1%
1435,帕丁顿熊,0.2%,49.05,42,0.2%,49.4%
1436,飓风营救3,0.2%,48.77,16,0.4%,40.2%
1437,失孤,0.2%,41.55,14,0.5%,35.7%
1438,一万年以后,0.1%,29.48,12,0.4%,28.6%
1439,狼图腾,<0.1%,12.31,25,<0.1%,59.2%
1440,封门诡影,<0.1%,7.56,4,0.4%,24.8%
1441,可爱的你,<0.1%,5.61,15,<0.1%,40.3%
1442,爸爸的假期,<0.1%,3.09,42,<0.1%,68.2%
1443,菜鸟,<0.1%,3.04,4,0.2%,18.2%
1444,通道转兵,<0.1%,2.71,96,<0.1%,--
1445,澳门风云2,<0.1%,2.37,13,<0.1%,33.6%
1446,木星上行,<0.1%,2.33,10,<0.1%,24.0%
1447,红包,<0.1%,2.02,52,<0.1%,--
1448,公路美人,<0.1%,1.35,2,0.2%,1.8%
1449,战狼,34.8%,5053.05,36,26.9%,37.6%
1450,咱们结婚吧,23.2%,3370.60,31,21.9%,35.6%
1451,王牌特工：特工学院,23.2%,3366.96,47,13.6%,47.3%
1452,魔法总动员,7.0%,1026.21,26,8.0%,42.5%
1453,暴疯语,3.4%,504.26,12,8.7%,17.0%
1454,灰姑娘,2.2%,327.29,28,2.4%,45.1%
1455,冲锋车,1.8%,275.35,11,5.3%,16.4%
1456,白幽灵传奇之绝命逃亡,1.7%,249.51,10,4.8%,16.7%
1457,三更车库,0.5%,85.03,7,2.8%,12.8%
1458,兔侠之青黎传说,0.4%,68.36,65,0.1%,100%
1459,无敌小飞猪,0.4%,58.82,8,1.8%,21.5%
1460,飓风营救3,0.2%,34.89,11,0.4%,28.3%
1461,失孤,0.1%,24.53,9,0.5%,22.9%
1462,一万年以后,0.1%,19.54,9,0.4%,19.7%
1463,狼图腾,<0.1%,10.15,21,<0.1%,44.7%
1464,可爱的你,<0.1%,5.07,17,<0.1%,40.7%
1465,封门诡影,<0.1%,5.04,3,0.5%,17.8%
1466,通道转兵,<0.1%,3.03,102,<0.1%,--
1467,木星上行,<0.1%,1.66,7,<0.1%,14.8%
1468,澳门风云2,<0.1%,1.53,9,<0.1%,23.3%
1469,菜鸟,<0.1%,1.09,2,0.2%,8.0%
1470,战狼,43.5%,2728.69,21,27.9%,22.0%
1471,咱们结婚吧,25.3%,1587.21,16,22.6%,18.7%
1472,王牌特工：特工学院,19.3%,1214.06,18,14.7%,18.7%
1473,暴疯语,3.5%,222.30,6,9.2%,8.3%
1474,冲锋车,2.1%,135.71,6,6.0%,8.4%
1475,白幽灵传奇之绝命逃亡,1.9%,123.74,5,5.2%,8.4%
1476,兔侠之青黎传说,0.8%,53.90,67,0.1%,100%
1477,三更车库,0.8%,52.54,5,3.0%,8.0%
1478,灰姑娘,0.8%,51.00,6,2.1%,9.4%
1479,魔法总动员,0.7%,47.68,3,4.3%,3.9%
1480,飓风营救3,0.2%,15.03,5,0.5%,12.4%
1481,失孤,0.1%,10.75,4,0.6%,9.2%
1482,一万年以后,<0.1%,5.04,3,0.4%,6.2%
1483,狼图腾,<0.1%,3.68,7,0.1%,13.4%
1484,封门诡影,<0.1%,2.41,2,0.5%,9.0%
1485,可爱的你,<0.1%,1.89,7,<0.1%,13.8%
1486,无敌小飞猪,<0.1%,1.69,1,0.9%,1.4%
1487,摩尔庄园3：魔幻列车大冒险,<0.1%,1.53,152,<0.1%,100%
1488,黄克功案件,<0.1%,1.28,214,<0.1%,88.2%
1489,通道转兵,<0.1%,1.26,56,<0.1%,--
1490,战狼,43.7%,2619.29,20,28.5%,21.1%
1491,咱们结婚吧,24.6%,1474.56,15,22.6%,18.0%
1492,王牌特工：特工学院,19.6%,1179.26,17,15.2%,17.8%
1493,暴疯语,3.3%,201.84,6,8.7%,8.5%
1494,冲锋车,2.2%,134.26,6,6.0%,8.6%
1495,白幽灵传奇之绝命逃亡,1.8%,111.01,5,5.1%,8.2%
1496,兔侠之青黎传说,1.0%,65.14,68,0.1%,100%
1497,三更车库,0.8%,50.73,4,3.1%,7.9%
